,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
7860,['Cabinet of Commissioner Adina Vălean'],[],"('Roxana Lesovici',)","('Cabinet member',)",09/29/21,"('680443918500-51',)",A.P. Møller - Mærsk A/S,Berlaymont,discuss the impact of fit for 55 decarbonization strategies.
7861,['Cabinet of President Ursula von der Leyen'],[],"('Per Haugaard',)","('Cabinet member',)",09/29/21,"('680443918500-51',)",A.P. Møller - Mærsk A/S,Brussels,global trade issues
7863,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",09/29/21,"('941662444402-60',)",Giga Carbon Neutrality Inc,virtual,hydrogen strategy
7864,['Cabinet of Commissioner Kadri Simson'],[],"('Kadri Simson', 'Stefano Grassi')","('Commissioner', 'Cabinet member')",09/29/21,"('941662444402-60',)",Giga Carbon Neutrality Inc,Online,"hydrogen, decarbonised industrial transport."
7897,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Antoine Colombani',)","('Cabinet member',)",10/01/21,"('09245221105-30',)",Fédération bancaire française,video-call,"basel iii upcoming package: output floor, equity, special lending, mortgages, frtb, esg risks."
7898,['Cabinet of President Ursula von der Leyen'],[],"('Valeria Miceli',)","('Cabinet member',)",10/01/21,"('09245221105-30',)",Fédération bancaire française,Brussels - Belgium,"basel iii upcoming package: output floor, equity, special lending, mortgages, frtb, esg risks. upcoming package: output floor, equity, special lending, mortgages, frtb, esg risks."
7961,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Penelope Papandropoulos', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",10/07/21,"('5950962136-12', '37937886834-69')","European Newspaper Publishers' Association,European Magazine Media Association",Online,"digital services act, digital markets act"
7962,['Cabinet of Commissioner Thierry Breton'],[],"('Filomena Chirico',)","('Cabinet member',)",10/07/21,"('5950962136-12', '37937886834-69')","European Newspaper Publishers' Association,European Magazine Media Association",Videoconference,media remuneration in dma
8016,['Cabinet of Commissioner Ylva Johansson'],[],"('Asa Webber',)","('Cabinet member',)",10/12/21,"('39912257528-48',)",Confederation of Swedish Enterprise,Brussels,"discussions on schengen, freedom of movement and other topical matters in the context of home affairs"
8017,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",10/12/21,"('39912257528-48',)",Confederation of Swedish Enterprise,"Brussels, Belgium",eu transport agenda
8018,"['Cabinet of Executive Vice-President Margrethe Vestager', 'Cabinet of Executive Vice-President Margrethe Vestager']",[],"('Anne Funch Jensen', 'Kim Jorgensen', 'Kim Jorgensen', 'Anne Funch Jensen')","('Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member')",10/12/21,"('39912257528-48',)",Confederation of Swedish Enterprise,Brussels ,issues within the competition portfolio
8034,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Stefanie Hiesinger', 'Diederik Samsom')","('Cabinet member', 'Cabinet member')",10/12/21,"('89093924456-06',)",Vereinigung der österreichischen Industrie - Industriellenvereinigung,Brussels ,fit for 55 package
8035,['Cabinet of Commissioner Nicolas Schmit'],[],"('Nicolas Schmit', 'Anouk Faber', 'Christoph Nerlich')","('Commissioner', 'Cabinet member', 'Cabinet member')",10/12/21,"('89093924456-06',)",Vereinigung der österreichischen Industrie - Industriellenvereinigung,Brussels,"the pillar of social rights (and an action plan), the minimum wage proposal and the initiative for social dialogue."
8048,['Cabinet of Commissioner Adina Vălean'],['Mobility and Transport'],"('Walter Goetz', 'Henrik Hololei')","('Cabinet member', 'Director-General')",10/13/21,"('48544465107-88',)",DHL Group,"Brussels, Belgium",fitfor55 and covid-19 experiences
8049,['Cabinet of Vice-President Věra Jourová'],[],"('Renate Nikolay',)","('Cabinet member',)",10/13/21,"('48544465107-88',)",DHL Group,Brussels,sustainable corporate governance
8062,['Cabinet of Commissioner Johannes Hahn'],[],"('David Mueller', 'Johannes Hahn')","('Cabinet member', 'Commissioner')",10/13/21,"('89093924456-06',)",Vereinigung der österreichischen Industrie - Industriellenvereinigung,Brussels,courtesy visit. exchange on current economic developments.
8063,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",10/13/21,"('89093924456-06',)",Vereinigung der österreichischen Industrie - Industriellenvereinigung,Brussels,"share their views with eu on:
1.	european industrial strategy
2.	fit-for-55 package and energy intensive industries
3.	cbam
4.	eu due diligence proposal"
8131,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",10/19/21,"('462849021886-85',)",KIC InnoEnergy SE,Brussels,discussion on hydrogen and the european batteries alliance.
8132,[],['Taxation and Customs Union'],"('Gerassimos Thomas',)","('Director-General',)",10/19/21,"('462849021886-85',)",KIC InnoEnergy SE,Brussels,physical meeting - exchange of views on the commission proposal for a cbam
8233,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",10/27/21,"('33858106461-10',)",Raiffeisen Bank International AG,Brussels,"basel iii, digital currency"
8234,['Cabinet of Vice-President Dubravka Šuica'],[],"('Dubravka Šuica',)","('Vice-President',)",10/27/21,"('33858106461-10',)",Raiffeisen Bank International AG,Brussels,"demography, rural areas, ageing, conference on the future of europe"
8235,['Cabinet of Commissioner Olivér Várhelyi'],[],"('Olivér Várhelyi',)","('Commissioner',)",10/27/21,"('33858106461-10',)",Raiffeisen Bank International AG,Brussels,economic and investment plan of the western balkans
8236,['Cabinet of Commissioner Johannes Hahn'],[],"('David Mueller', 'Johannes Hahn')","('Cabinet member', 'Commissioner')",10/27/21,"('33858106461-10',)",Raiffeisen Bank International AG,Brussels,state of play of the economic situation in the cee region
8263,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",10/28/21,"('13255254129-80',)",Vereniging VNO-NCW,video-call,"green deal, fit for 55"
8264,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Anthony Agotha',)","('Cabinet member',)",10/28/21,"('13255254129-80',)",Vereniging VNO-NCW,video call,green deal/ff55/cop26
8352,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",11/08/21,"('744386211832-33',)",Gibbels Public Affairs,Online,"digital citizenship, social digital standard."
8353,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",11/08/21,"('744386211832-33',)",Gibbels Public Affairs,Brussels,"digital citizenship, social digital standard., social digital standard."
8358,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power',)","('Cabinet member',)",11/09/21,"('03013154889-05', '296711210890-30')","Afore Consulting,Investment Company Institute",Brussels,"sustainable finance, capital markets union"
8359,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",11/09/21,"('03013154889-05', '296711210890-30')","Afore Consulting,Investment Company Institute",video conference,"sustainable finance, capital markets union, capital markets union"
8365,['Cabinet of Commissioner Kadri Simson'],[],"('Stefano Grassi', 'Tatiana Marquez Uriarte')","('Cabinet member', 'Cabinet member')",11/09/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,"Brussels, Belgium",presentation by bdi of their study on scenarios to decarbonisation in germany and discussion on the upcoming h2 and gas decarbonisation package
8366,['Cabinet of Vice-President Věra Jourová'],[],"('Renate Nikolay',)","('Cabinet member',)",11/09/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,VC,sustainable corporate governance
8367,['Cabinet of President Ursula von der Leyen'],[],"('Kurt Vandenberghe',)","('Cabinet member',)",11/09/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,the fit for 55 package and its opportunities and challenges for industry
8372,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Tuure Taneli Lahti',)","('Cabinet member',)",11/09/21,"('355702910008-47',)",Swedish Forest Industries Federation,videoconference,eu forest agenda
8373,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Alina-Stefania Ujupan',)","('Cabinet member',)",11/09/21,"('355702910008-47',)",Swedish Forest Industries Federation,Brussels,green deal and relevance for the forest industries
8377,['Cabinet of Commissioner Kadri Simson'],[],"('Kadri Simson', 'Tatiana Marquez Uriarte')","('Commissioner', 'Cabinet member')",11/09/21,"('3978240953-79',)",BUSINESSEUROPE,"Brussels, BERL","energy prices, fit for 55, hydrogen and gas package."
8378,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Mirzha De Manuel', 'Valdis Dombrovskis ')","('Cabinet member', 'Executive Vice-President')",11/09/21,"('3978240953-79',)",BUSINESSEUROPE,Brussels,"evp dombrovskis  delivered an intervention on the interlink between the eu recovery and trade policies from a business perspective, and had the opportunity to answer questions raised by the participants on those topics."
8379,['Cabinet of Commissioner Thierry Breton'],[],"('Thierry Breton',)","('Commissioner',)",11/09/21,"('3978240953-79',)",BUSINESSEUROPE,"Brussels, Belgium","industrial strategy , digitalisation, resilience, fit for 55"
8380,"['Cabinet of Commissioner Mairead Mcguinness', 'Cabinet of Commissioner Mairead Mcguinness']",[],"('Mairead McGuinness', 'Katherine Power')","('Commissioner', 'Cabinet member')",11/09/21,"('3978240953-79',)",BUSINESSEUROPE,Brussels,sustainable finance
8390,['Cabinet of Commissioner Thierry Breton'],[],"('Fabrice Comptour',)","('Cabinet member',)",11/09/21,"('7459401905-60',)",Intel Corporation,Bruxelles,preparation chips act
8391,['Cabinet of Commissioner Thierry Breton'],[],"('Fabrice Comptour', 'Thierry Breton')","('Cabinet member', 'Commissioner')",11/09/21,"('7459401905-60',)",Intel Corporation,Ireland,semiconductors
8405,['Cabinet of Commissioner Thierry Breton'],[],"('Fabrice Comptour', 'Thierry Breton')","('Cabinet member', 'Commissioner')",11/10/21,"('2732167674-76',)",Airbus,Brussels,defense and space
8406,['Cabinet of Commissioner Thierry Breton'],[],"('Thierry Breton',)","('Commissioner',)",11/10/21,"('2732167674-76',)",Airbus,"Brussels, Belgium",eu space policy
8407,['Cabinet of Commissioner Thierry Breton'],[],"('Fabrice Comptour', 'Thierry Breton')","('Cabinet member', 'Commissioner')",11/10/21,"('2732167674-76',)",Airbus,Brussels,exchange on defence cooperation
8420,['Cabinet of Commissioner Adina Vălean'],[],"('Adina-Ioana Vălean',)","('Commissioner',)",11/10/21,"('747450344679-16',)",Arab Air Carriers' Organization,VTC,"vice president schinas invited commissioner valean to a vtc with mr. abdul wahhab teffaha, secretary general of aaco, and mr. abdennebi manar, director general of arab civil aviation organisation, regarding the situation of flights to belarus."
8421,['Cabinet of Vice-President Margaritis Schinas'],[],"('Natasha Bertaud', 'Maria-Myrto Kanellopoulou', 'Margaritis Schinas', 'Despina Spanou')","('Cabinet member', 'Cabinet member', 'Vice-President', 'Cabinet member')",11/10/21,"('747450344679-16',)",Arab Air Carriers' Organization,VTC,"vtc with the sg of the arab air carriers organisation, mr abdul wahhab teffaha"
8470,[],['Competition'],"('Olivier Guersent',)","('Director-General',)",11/15/21,"('39217046408-27',)",Union of European Football Associations,Brussels,competition policy
8471,['Cabinet of Commissioner Mariya Gabriel'],[],"('Pauline Rouch',)","('Cabinet member',)",11/15/21,"('39217046408-27',)",Union of European Football Associations,Brussels,introductory meeting
8499,"['Cabinet of Executive Vice-President Valdis Dombrovskis', 'Cabinet of Commissioner Mairead Mcguinness']",[],"('Andrea Beltramello', 'Tommy De Temmerman')","('Cabinet member', 'Cabinet member')",11/16/21,"('7328496842-09',)",Finanssiala ry - Finance Finland,Brussels,"basel iii, banking union, solvency ii"
8500,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Jutta Urpilainen',)","('Commissioner',)",11/16/21,"('7328496842-09',)",Finanssiala ry - Finance Finland,Brussels,"sustainable finance, other current issues on their sector"
8504,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",11/16/21,"('95574664768-90',)",Verband der Automobilindustrie,Brussels,discuss euro 7 and access to in-vehicle data.
8505,['Cabinet of Commissioner Adina Vălean'],[],"('Adina-Ioana Vălean',)","('Commissioner',)",11/16/21,"('95574664768-90',)",Verband der Automobilindustrie,Brussels,meeting ceo
8574,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",11/22/21,"('97921387213-35',)",Interuniversitair Micro-Electronica Centrum vzw,Brussels,"organised by belgian permrep: presentation by imec, world-leading randd hub for nano/digital technologies, semiconductors"
8575,[],['Research and Innovation'],"('Jean-Eric Paquet',)","('Director-General',)",11/22/21,"('97921387213-35',)",Interuniversitair Micro-Electronica Centrum vzw,Brussels,presentation of the interuniversity microelectronics centre
8590,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Pierre-Arnaud Proux',)","('Cabinet member',)",11/23/21,"('58290033126-06',)",Rolls-Royce plc,Online,decarbonisation and digitalisation in marine industry
8591,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",11/23/21,"('58290033126-06',)",Rolls-Royce plc,"Brussels, Belgium",fueleu maritime
8608,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager', 'Alejandro Cainzos')","('Executive Vice-President', 'Cabinet member')",11/24/21,"('5265780509-97',)",American Chamber of Commerce to the European Union,Online ,competitiveness of europe in the global economy + transatlantic relations
8609,['Cabinet of Commissioner Stella Kyriakides'],[],"('Giorgios Rossides',)","('Cabinet member',)",11/24/21,"('5265780509-97',)",American Chamber of Commerce to the European Union,Webex ,courtesy meeting and an exchange of views on transatlantic relations and cooperation on key initiatives in the health area.
8610,['Cabinet of Vice-President Dubravka Šuica'],[],"('Astrid Dentler', 'Mattia De Grassi', 'Colin Scicluna')","('Cabinet member', 'Cabinet member', 'Cabinet member')",11/24/21,"('5265780509-97',)",American Chamber of Commerce to the European Union,Brussels/Online,"status of the conference on the future of europe
impact of demographic change on trade and investments
possible future cooperation and possible invites to amchameu events in 2022"
